tEdges,0.0,2.0

# var,tbin,cfg,lo,hi
Mx2_ep,0,0,-999,999
Mx2_ep,0,1,-0.240,0.240
Mx2_ep,0,2,-0.120,0.136

Emiss,0,0,-999,999
Emiss,0,1,-0.320,0.368
Emiss,0,2,-0.333,0.403

PTmiss,0,0,-999,999
PTmiss,0,1,0,0.112
PTmiss,0,2,0,0.067

Theta_gamma_gamma,0,0,-999,999
Theta_gamma_gamma,0,1,0,1.417
Theta_gamma_gamma,0,2,0,0.842

DeltaPhi,0,0,-999,999
DeltaPhi,0,1,0,7.283
DeltaPhi,0,2,0,4.012

Mx2_epg,0,0,-999,999
Mx2_epg,0,1,-0.013,0.019
Mx2_epg,0,2,-0.008,0.008

Mx2_eg,0,0,-999,999
Mx2_eg,0,1,0.410,1.370
Mx2_eg,0,2,0.370,1.502
