tEdges,0.0,1.0

# var,tbin,cfg,lo,hi
Mx2_ep,0,0,-0.139,0.153
Mx2_ep,0,1,-0.240,0.272
Mx2_ep,0,2,-0.137,0.155

Emiss,0,0,-0.145,0.199
Emiss,0,1,-0.361,0.383
Emiss,0,2,-0.355,0.429

PTmiss,0,0,0,0.041
PTmiss,0,1,0,0.118
PTmiss,0,2,0,0.068

Theta_gamma_gamma,0,0,0,0.644
Theta_gamma_gamma,0,1,0,1.363
Theta_gamma_gamma,0,2,0,0.786

DeltaPhi,0,0,0,1.761
DeltaPhi,0,1,0,8.192
DeltaPhi,0,2,0,3.97

Mx2_epg,0,0,-0.004,0.004
Mx2_epg,0,1,-0.018,0.014
Mx2_epg,0,2,-0.008,0.008

Mx2_eg,0,0,0.639,1.215
Mx2_eg,0,1,0.390,1.390
Mx2_eg,0,2,0.329,1.549
