tEdges,0.0,2.0

# var,tbin,cfg,lo,hi
Mx2_ep,0,0,-999,999
Mx2_ep,0,1,-0.223,0.377
Mx2_ep,0,2,-0.187,0.285

Emiss,0,0,-999,999
Emiss,0,1,-0.347,0.601
Emiss,0,2,-0.493,0.659

PTmiss,0,0,-999,999
PTmiss,0,1,0,0.186
PTmiss,0,2,0,0.126

Theta_gamma_gamma,0,0,-999,999
Theta_gamma_gamma,0,1,0,2.479
Theta_gamma_gamma,0,2,0,2.068

DeltaPhi,0,0,-999,999
DeltaPhi,0,1,0,10.446
DeltaPhi,0,2,0,9.735

Mx2_epg,0,0,-999,999
Mx2_epg,0,1,-0.026,0.026
Mx2_epg,0,2,-0.021,0.019

Mx2_eg,0,0,-999,999
Mx2_eg,0,1,0.390,1.730
Mx2_eg,0,2,0.116,1.900
